Crime_Rate,Residential_Land,Industrial_Land,River_Dummy,Air_Pollution,Average_Rooms,Older Units,Distance_To_Employment,Acess_To_Highway,TAX,Black Population,Low_State_Population,Median Home Value
2%,9500%,147%,0%,40%,7.14,14,7.6534,3,? 402.00,38430%,445%,? 32.90
3%,8250%,203%,0%,42%,6.16,38,6.27,2,? 348.00,39377%,743%,? 24.10
2%,8250%,203%,0%,42%,7.61,16,6.27,2,? 348.00,39538%,311%,? 42.30
4%,9500%,268%,0%,42%,7.85,33,5.118,4,? 224.00,39278%,381%,? 48.50
2%,9500%,268%,0%,42%,8.03,32,5.118,4,? 224.00,39055%,288%,? 50.00
14%,NA,1059%,0%,49%,5.89,22,3.9454,4,? 277.00,39690%,1087%,? 22.60
23%,0%,1059%,NA,49%,6.33,53,4.3549,4,? 277.00,39487%,1097%,? 24.40
25%,0%,1059%,0%,49%,5.78,73,4.3549,4,? 277.00,38943%,NA,? 22.50
14%,0%,1059%,100%,49%,6.06,59,4.2392,4,? 277.00,38132%,1466%,? 24.40
44%,0%,1059%,100%,49%,5.34,100,3.875,4,? 277.00,39690%,2309%,? 20.00
17%,NA,1059%,100%,49%,5.96,92,3.8771,4,? 277.00,39325%,1727%,? 21.70
38%,0%,1059%,100%,49%,5.40,89,3.665,4,? 277.00,39524%,2398%,? 19.30
22%,0%,1059%,100%,49%,5.81,54,3.6526,4,? 277.00,39094%,1603%,? 22.40
14%,0%,1059%,0%,49%,6.38,32,3.9454,4,? 277.00,38581%,938%,? 28.10
29%,0%,1059%,0%,49%,5.41,10,3.5875,4,? 277.00,34893%,2955%,? 23.70
20%,0%,1059%,0%,49%,6.18,NA,3.9454,4,? 277.00,39363%,947%,? 25.00
5%,0%,1389%,100%,55%,5.89,56,3.1121,5,? 276.00,39280%,1351%,? 23.30
7%,0%,1389%,0%,55%,6.64,85,3.4211,5,? 276.00,39278%,969%,? 28.70
11%,0%,1389%,100%,55%,5.95,94,2.8893,5,? 276.00,39690%,1792%,? 21.50
11%,0%,NA,100%,55%,6.37,92,3.3633,5,? 276.00,39374%,1050%,? 23.00
36%,0%,620%,100%,51%,6.95,89,2.8617,8,? 307.00,39170%,971%,? 26.70
41%,0%,620%,100%,51%,6.16,91,3.048,8,? 307.00,39524%,2146%,? 21.70
62%,0%,620%,100%,51%,6.88,78,3.2721,8,? 307.00,39039%,993%,? 27.50
61%,0%,620%,0%,51%,6.62,81,3.2721,8,? 307.00,39690%,760%,? 30.10
32%,0%,620%,0%,50%,8.27,78,2.8944,8,? 307.00,38505%,414%,? 44.80
53%,0%,620%,0%,50%,8.73,83,2.8944,8,? 307.00,38200%,463%,? 50.00
38%,0%,620%,0%,50%,8.04,87,3.2157,8,? 307.00,38738%,NA,? 37.60
41%,0%,620%,0%,50%,7.16,80,3.2157,8,? 307.00,37208%,636%,? 31.60
30%,0%,620%,0%,50%,7.69,17,3.3751,8,? 307.00,37751%,NA,? 46.70
NA,0%,620%,0%,50%,6.55,21,3.3751,8,? 307.00,38034%,376%,? 31.50
54%,0%,620%,0%,50%,5.98,68,3.6715,8,? 307.00,37835%,1165%,? 24.30
46%,0%,620%,0%,50%,7.41,77,3.6715,8,? 307.00,37614%,525%,? 31.70
58%,0%,620%,0%,51%,8.34,73,3.8384,8,? 307.00,38591%,247%,? 41.70
33%,0%,620%,0%,51%,8.25,NA,3.6519,8,? 307.00,37895%,395%,? 48.30
45%,0%,620%,100%,51%,6.73,67,3.6519,8,? 307.00,36020%,805%,? 29.00
33%,0%,620%,0%,51%,6.09,62,3.6519,8,? 307.00,37675%,1088%,? 24.00
NA,0%,620%,100%,51%,6.63,77,4.148,8,? 307.00,38845%,954%,? 25.10
51%,0%,620%,0%,51%,7.36,72,4.148,8,? 307.00,39007%,473%,? 31.50
8%,NA,493%,0%,43%,6.48,19,6.1899,6,? 300.00,37941%,636%,? 23.70
9%,3000%,493%,0%,43%,6.61,42,6.1899,6,? 300.00,38378%,737%,? 23.30
11%,3000%,493%,NA,43%,6.90,54,6.3361,6,? 300.00,39125%,1138%,? 22.00
NA,3000%,493%,0%,43%,6.10,65,6.3361,6,? 300.00,39462%,1240%,? 20.10
10%,3000%,493%,0%,43%,6.36,53,7.0355,6,? 300.00,37275%,1122%,? 22.20
13%,3000%,493%,0%,43%,6.39,8,7.0355,6,? 300.00,37471%,519%,? 23.70
21%,2200%,586%,0%,43%,5.59,77,7.9549,7,? 330.00,37249%,1250%,? 17.60
19%,2200%,NA,NA,43%,5.61,70,7.9549,7,? 330.00,38913%,1846%,? 18.50
34%,2200%,586%,0%,43%,6.11,35,8.0555,7,? 330.00,39018%,916%,? 24.30
20%,2200%,586%,0%,43%,6.23,79,8.0555,7,? 330.00,37614%,1015%,? 20.50
16%,2200%,586%,0%,43%,6.43,49,7.8265,7,? 330.00,37471%,952%,? 24.50
19%,2200%,586%,0%,43%,6.72,18,7.8265,7,? 330.00,39374%,656%,? 26.20
14%,2200%,586%,0%,43%,6.49,13,7.3967,7,? 330.00,39628%,590%,? 24.40
21%,2200%,586%,0%,43%,6.44,9,7.3967,7,? 330.00,37707%,359%,? 24.80
8%,2200%,586%,0%,43%,6.96,7,8.9067,7,? 330.00,38609%,353%,? 29.60
37%,2200%,586%,0%,43%,8.26,8,8.9067,7,? 330.00,39690%,354%,? 42.80
5%,8000%,364%,NA,39%,6.11,32,9.2203,1,? 315.00,39289%,657%,? 21.90
4%,8000%,364%,0%,39%,5.88,19,9.2203,1,? 315.00,39518%,925%,? 20.90
2%,9000%,375%,0%,39%,7.45,34,6.3361,3,? 244.00,38634%,311%,? 44.00
61%,2000%,397%,0%,65%,8.70,87,1.801,5,? 264.00,38970%,512%,? 50.00
66%,2000%,397%,0%,65%,7.33,100,1.8946,5,? 264.00,38329%,779%,? 36.00
66%,2000%,397%,0%,65%,6.84,100,2.0107,5,? 264.00,39193%,690%,? 30.10
54%,2000%,397%,0%,65%,7.20,82,2.1121,5,? 264.00,39280%,959%,? 33.80
53%,2000%,397%,0%,65%,7.52,89,2.1398,5,? 264.00,38837%,726%,? 43.10
NA,2000%,397%,0%,65%,8.40,92,2.2885,5,? 264.00,38686%,591%,? 48.80
83%,2000%,397%,0%,65%,7.33,95,2.0788,5,? 264.00,39342%,1125%,? 31.00
55%,2000%,397%,0%,65%,7.21,92,1.9301,5,? 264.00,38789%,810%,? 36.50
76%,2000%,397%,0%,65%,5.56,63,1.9865,5,? 264.00,39240%,1045%,? 22.80
79%,NA,397%,0%,65%,7.01,85,2.1329,5,? 264.00,38407%,1479%,? 30.70
58%,2000%,397%,0%,58%,8.30,67,2.4216,5,? 264.00,38454%,744%,? 50.00
54%,2000%,397%,0%,58%,7.47,53,2.872,5,? 264.00,39030%,316%,? 43.50
9%,2000%,696%,100%,46%,5.92,62,3.9175,3,? 223.00,39134%,1365%,? 20.70
30%,2000%,696%,0%,46%,5.86,42,4.429,3,? 223.00,38865%,1300%,? 21.10
16%,2000%,696%,0%,46%,6.24,16,4.429,3,? 223.00,39690%,NA,? 25.20
11%,2000%,696%,0%,46%,6.54,59,3.9175,3,? 223.00,39496%,773%,? 24.40
22%,2000%,696%,100%,46%,7.69,52,4.3665,3,? 223.00,39077%,658%,? 35.20
6%,4000%,641%,100%,45%,6.76,33,4.0776,4,? 254.00,39690%,353%,? 32.40
10%,4000%,641%,0%,45%,6.85,43,4.2673,4,? 254.00,39690%,298%,? 32.00
10%,4000%,641%,100%,45%,7.27,49,4.7872,4,? 254.00,38925%,605%,? 33.20
6%,4000%,641%,100%,45%,6.83,28,4.8628,4,? 254.00,39345%,NA,? 33.10
8%,4000%,641%,0%,45%,6.48,32,4.1403,4,? 254.00,39690%,719%,? 29.10
21%,2000%,333%,0%,44%,6.81,32,4.1007,5,? 216.00,39690%,485%,? 35.10
4%,2000%,333%,0%,44%,7.82,65,4.6947,5,? 216.00,38731%,376%,? 45.40
4%,2000%,333%,0%,44%,6.97,NA,5.2447,5,? 216.00,39223%,459%,? 35.40
6%,2000%,333%,100%,44%,7.65,50,5.2119,5,? 216.00,37707%,301%,? 46.00
2%,9000%,121%,100%,40%,7.92,25,5.885,1,? 198.00,39552%,316%,? 50.00
1%,9000%,297%,0%,40%,7.09,21,7.3073,1,? 285.00,39472%,785%,? 32.20
1%,5500%,225%,0%,39%,6.45,32,7.3073,1,? 300.00,39472%,823%,? 22.00
2%,8000%,176%,0%,39%,6.23,NA,9.0892,1,? 241.00,34160%,1293%,? 20.10
